emoji,sentiment_score,count,pos_ratio,neg_ratio,neu_ratio,percent_very_pos,percent_pos,percent_somewhat_pos,percent_neutral,percent_very_neg,percent_neg,percent_somewhat_neg,confidence_interval
🤗,0.4512820512820513,65,0.8,0.06666666666666667,0.13333333333333333,0.12307692307692308,0.4307692307692308,0.24615384615384617,0.12307692307692308,0.0,0.046153846153846156,0.03076923076923077,0.17997951686419514
😑,-0.17435897435897435,65,0.1111111111111111,0.42592592592592593,0.46296296296296297,0.015384615384615385,0.03076923076923077,0.07692307692307693,0.38461538461538464,0.06153846153846154,0.09230769230769231,0.3384615384615385,0.17893206742206513
😴,-0.03954802259887005,59,0.15841584158415842,0.22772277227722773,0.6138613861386139,0.0,0.1016949152542373,0.06779661016949153,0.5254237288135594,0.0,0.0847457627118644,0.22033898305084745,0.17535384620887431
😞,-0.3391812865497076,57,0.08333333333333333,0.6875,0.22916666666666666,0.0,0.03508771929824561,0.07017543859649122,0.19298245614035087,0.03508771929824561,0.38596491228070173,0.2807017543859649,0.1929043575706693
👉,0.24404761904761904,56,0.49514563106796117,0.0970873786407767,0.4077669902912621,0.05357142857142857,0.32142857142857145,0.10714285714285714,0.375,0.0,0.03571428571428571,0.10714285714285714,0.1953772574463894
☺️,0.5740740740740741,54,0.8347826086956521,0.02608695652173913,0.1391304347826087,0.2962962962962963,0.35185185185185186,0.18518518518518517,0.14814814814814814,0.018518518518518517,0.0,0.0,0.19835794120533365
✌,0.2345679012345679,54,0.47,0.09,0.44,0.05555555555555555,0.25925925925925924,0.18518518518518517,0.4074074074074074,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.19863622128212655
👏,0.36538461538461536,52,0.7362637362637363,0.10989010989010989,0.15384615384615385,0.09615384615384616,0.34615384615384615,0.3076923076923077,0.1346153846153846,0.0,0.07692307692307693,0.038461538461538464,0.2082834938197967
🎶,0.4967320261437908,51,0.78,0.02,0.2,0.13725490196078433,0.47058823529411764,0.17647058823529413,0.19607843137254902,0.0,0.0196078431372549,0.0,0.195864756469782
🤍,0.46,50,0.8202247191011236,0.0449438202247191,0.1348314606741573,0.18,0.3,0.32,0.12,0.0,0.0,0.08,0.21262308435351038
😒,-0.3733333333333333,50,0.025,0.725,0.25,0.0,0.02,0.0,0.2,0.02,0.34,0.42,0.18903795174514562
📍,0.2847222222222222,48,0.4421052631578947,0.010526315789473684,0.5473684210526316,0.125,0.1875,0.125,0.5416666666666666,0.0,0.0,0.020833333333333332,0.19156003721435486
♥️,0.5,48,0.8863636363636364,0.06818181818181818,0.045454545454545456,0.16666666666666666,0.4375,0.25,0.041666666666666664,0.0,0.020833333333333332,0.08333333333333333,0.2067673458224566
😬,-0.0851063829787234,47,0.25675675675675674,0.4189189189189189,0.32432432432432434,0.02127659574468085,0.10638297872340426,0.1276595744680851,0.2553191489361702,0.0425531914893617,0.0851063829787234,0.3617021276595745,0.22416054272117997
💀,-0.3703703703703704,45,0.14772727272727273,0.7159090909090909,0.13636363636363635,0.0,0.1111111111111111,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.17777777777777778,0.24444444444444444,0.23806909496363676
